"id";"latitude";"longitude";"name";"light";"number";"address";"activate";"no_available";"total_bases";"dock_bikes";"free_bases";"reservations_count";"district";"neighborhood";"startDate"
11;"40.4250863";"-3.6918807";"Marqués de la Ensenada";2;"10";"Calle Marqués de la Ensenada nº 16";1;0;24;14;10;0;"01  CENTRO";"01-04 JUSTICIA";2014-06-23
12;"40.4269483";"-3.7035918";"San Andrés";2;"11";"Calle San Andrés nº 18";1;0;24;9;13;0;"01  CENTRO";"01-05 UNIVERSIDAD";2014-06-23
13;"40.4284246";"-3.7061931";"San Hermenegildo";0;"12";"Calle San Bernardo nº 85";1;0;24;1;22;0;"01  CENTRO";"01-05 UNIVERSIDAD";2014-06-23
14;"40.4273264";"-3.7104417";"Conde Duque";2;"13";"Calle Conde Duque nº 22";1;0;24;12;11;0;"01  CENTRO";"01-05 UNIVERSIDAD";2014-06-23
15;"40.4260957";"-3.7134790";"Ventura Rodríguez";2;"14";"Calle Ventura Rodríguez nº 2";1;0;24;13;11;0;"09  MONCLOA-ARAVACA";"09-02 ARGÜELLES";2014-06-23
16;"40.4261649";"-3.7073764";"San Vicente Ferrer";0;"15";"Calle San Vicente Ferrer nº 64";1;0;21;1;20;0;"01  CENTRO";"01-05 UNIVERSIDAD";2014-06-23
17;"40.4230721";"-3.7075065";"San Bernardo";2;"16";"Calle San Bernardo nº 22";1;0;21;7;11;0;"01  CENTRO";"01-05 UNIVERSIDAD";2014-06-23
18;"40.4232649";"-3.7038312";"Carlos Cambronero";1;"17";"Plaza de Carlos Cambronero nº 2";1;0;24;17;4;0;"01  CENTRO";"01-05 UNIVERSIDAD";2014-06-23
19;"40.4207773";"-3.6996502";"Plaza de Pedro Zerolo";2;"18";"Plaza de Pedro Zerolo";1;0;24;11;10;0;"01  CENTRO";"01-04 JUSTICIA";2014-06-23
20;"40.4218616";"-3.6954983";"Prim";2;"19";"Calle Prim nº 2";1;0;24;11;13;0;"01  CENTRO";"01-04 JUSTICIA";2014-06-23
