day,hour,temperature,rain_mm3,rain,windspeed
2018-09-24,20,29.6,0,0,1.8
2018-09-24,21,27.8,0,0,1.8
2018-09-24,22,26.4,0,0,1.8
2018-09-24,23,25.4,0,0,1.8
2018-09-25,00,24.7,0,0,1.65
2018-09-25,01,22.1,0,0,1.65
2018-09-25,02,20.2,0,0,1.65
2018-09-25,03,20,0,0,1.65
2018-09-25,04,19.9,0,0,1.65
2018-09-25,05,19.1,0,0,1.65
2018-09-25,06,18.2,0,0,1.65
2018-09-25,07,17.2,0,0,1.65
2018-09-25,08,16.2,0,0,1.65
2018-09-25,09,17.5,0,0,1.65
2018-09-25,10,20.7,0,0,1.65
2018-09-25,11,21.7,0,0,1.65
2018-09-25,12,24.3,0,0,1.65
2018-09-25,13,25.3,0,0,1.65
2018-09-25,14,26.8,0,0,1.65
2018-09-25,15,28.5,0,0,1.65
2018-09-25,16,30.2,0,0,1.65
2018-09-25,17,31.1,0,0,1.65
2018-09-25,18,31.2,0,0,1.65
2018-09-25,19,30.1,0,0,1.65
2018-09-25,20,27.4,0,0,1.65
2018-09-25,21,24.4,0,0,1.65
2018-09-25,22,23.4,0,0,1.65
2018-09-25,23,24.7,0,0,1.65
2018-09-26,00,23.1,0,0,1.95
2018-09-26,01,21.7,0,0,1.95
2018-09-26,02,21,0,0,1.95
2018-09-26,03,20.5,0,0,1.95
2018-09-26,04,20.3,0,0,1.95
2018-09-26,05,20.2,0,0,1.95
2018-09-26,06,20.3,0,0,1.95
2018-09-26,07,20.2,0,0,1.95
2018-09-26,08,20.3,0,0,1.95
2018-09-26,09,20,0,0,1.95
2018-09-26,10,20.2,0,0,1.95
2018-09-26,11,20.4,0,0,1.95
2018-09-26,12,21.8,0,0,1.95
2018-09-26,13,22.7,0,0,1.95
2018-09-26,14,23.9,0,0,1.95
2018-09-26,15,24.1,0,0,1.95
2018-09-26,16,25.6,0,0,1.95
2018-09-26,17,27,0,0,1.95
2018-09-26,18,27.3,0,0,1.95
2018-09-26,19,25.6,0,0,1.95
2018-09-26,20,23.8,0,0,1.95
2018-09-26,21,22.8,0,0,1.95
2018-09-26,22,21.6,0,0,1.95
2018-09-26,23,21.1,0,0,1.95
2018-09-27,00,20.2,0,0,0.7
2018-09-27,01,19.2,0,0,0.7
2018-09-27,02,19.4,0,0,0.7
2018-09-27,03,18.7,0,0,0.7
2018-09-27,04,18.5,0,0,0.7
2018-09-27,05,17.8,0,0,0.7
2018-09-27,06,16.3,0,0,0.7
2018-09-27,07,15.2,0,0,0.7
2018-09-27,08,14.5,0,0,0.7
2018-09-27,09,15.3,0,0,0.7
2018-09-27,10,19.1,0,0,0.7
2018-09-27,11,21.4,0,0,0.7
2018-09-27,12,23.3,0,0,0.7
2018-09-27,13,24.4,0,0,0.7
2018-09-27,14,25.7,0,0,0.7
2018-09-27,15,26.7,0,0,0.7
2018-09-27,16,27.3,0,0,0.7
2018-09-27,17,28.3,0,0,0.7
2018-09-27,18,27.3,0,0,0.7
2018-09-27,19,26.3,0,0,0.7
2018-09-27,20,24.8,0,0,0.7
2018-09-27,21,21.3,0,0,0.7
2018-09-27,22,20,0,0,0.7
2018-09-27,23,19.1,0,0,0.7
2018-09-28,00,19.7,0,0,1.1
2018-09-28,01,21.1,0,0,1.1
2018-09-28,02,20.3,0,0,1.1
2018-09-28,03,17.9,0,0,1.1
2018-09-28,04,16.6,0,0,1.1
2018-09-28,05,15.5,0,0,1.1
2018-09-28,06,14.4,0,0,1.1
2018-09-28,07,13.6,0,0,1.1
2018-09-28,08,13.1,0,0,1.1
2018-09-28,09,13.6,0,0,1.1
2018-09-28,10,18.2,0,0,1.1
2018-09-28,11,21.7,0,0,1.1
2018-09-28,12,23.8,0,0,1.1
2018-09-28,13,25.8,0,0,1.1
2018-09-28,14,26,0,0,1.1
2018-09-28,15,27.2,0,0,1.1
2018-09-28,16,29,0,0,1.1
2018-09-28,17,28.6,0,0,1.1
2018-09-28,18,28.8,0,0,1.1
2018-09-28,19,27.8,0,0,1.1
